,,mean,sd,cv_1_valid,cv_2_valid,cv_3_valid,cv_4_valid,cv_5_valid
0,accuracy,0.9974316,0.0011532136,0.9982716,0.9960484,0.9962954,0.99827117,0.99827117
1,aic,,0.0,,,,,
2,auc,0.99993277,5.1897765e-05,0.99997675,0.99986315,0.99989265,0.9999762,0.99995506
3,err,0.00256845,0.0011532136,0.0017283951,0.003951593,0.0037046184,0.0017288219,0.0017288219
4,err_count,10.4,4.669047,7.0,16.0,15.0,7.0,7.0
5,f0point5,0.99766946,0.0015620955,0.99905705,0.9952455,0.9969816,0.9985221,0.99854094
6,f1,0.99760985,0.0010575564,0.998351,0.99633867,0.9965714,0.99838376,0.9984044
7,f2,0.997551,0.0008586715,0.997646,0.99743426,0.9961616,0.9982455,0.9982678
8,lift_top_group,1.8653811,0.024375694,1.9058824,1.8564879,1.8497031,1.8693445,1.8454877
9,loglikelihood,,0.0,,,,,
10,logloss,0.009523057,0.0031797858,0.006759557,0.013097493,0.012868203,0.007764487,0.007125547
11,max_per_class_error,0.003405771,0.0019288549,0.0028235293,0.006423983,0.0041114665,0.0018467221,0.001823154
12,mcc,0.99483603,0.002322355,0.9965382,0.9920547,0.9925435,0.99652565,0.9965182
13,mean_per_class_accuracy,0.99741817,0.0012133424,0.9983285,0.995871,0.99633133,0.99828005,0.9982798
14,mean_per_class_error,0.0025818616,0.0012133424,0.0016715049,0.004129002,0.0036686365,0.0017199622,0.0017202024
15,mse,0.0025318747,0.0008236781,0.0018871877,0.0033230977,0.003531222,0.0020508762,0.0018669894
16,pr_auc,0.9999412,4.565643e-05,0.9999791,0.9998786,0.99990755,0.9999793,0.9999612
17,precision,0.9977096,0.0019601965,0.9995283,0.99451804,0.99725527,0.9986143,0.998632
18,r2,0.9898155,0.003322272,0.9924328,0.9866277,0.98578125,0.9917562,0.9924793
19,recall,0.9975122,0.0010036395,0.99717647,0.99816597,0.99588853,0.99815327,0.9981769
20,rmse,0.04980149,0.008037896,0.043441772,0.057646316,0.059424087,0.0452866,0.043208674
21,specificity,0.99732405,0.0023072516,0.99948055,0.993576,0.9967742,0.9984068,0.99838275
