model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
GBM_4_AutoML_1_20260417_122515,0.9999424216203948,0.0093004508584045,0.9999495038516306,0.0028080140432583,0.0499882164687528,0.0024988217857268
GBM_3_AutoML_1_20260417_122515,0.9999271870648913,0.0095845968542412,0.9999354826541368,0.0028553019858238,0.0496164096513207,0.0024617881066876
GBM_2_AutoML_1_20260417_122515,0.9999169849156808,0.0097963466961568,0.999925823330776,0.0030437523583273,0.0502412595515219,0.0025241841613233
GBM_5_AutoML_1_20260417_122515,0.9999161069422634,0.0095263558969634,0.9999246838614564,0.0029127479336846,0.0492416664953303,0.0024247417192373
StackedEnsemble_AllModels_1_AutoML_1_20260417_122515,0.9999134337829751,0.0089835170982873,0.9999174426509524,0.0028062630013025,0.0481854363328049,0.0023218362745827
GBM_1_AutoML_1_20260417_122515,0.9999054437343868,0.0105711220751188,0.999915499654244,0.0032884224588346,0.0524676402571395,0.0027528532741526
GBM_grid_1_AutoML_1_20260417_122515_model_1,0.9998853239189732,0.0111294400822095,0.9998965392788172,0.0034152234018075,0.0542122314711473,0.0029389660410812
StackedEnsemble_BestOfFamily_1_AutoML_1_20260417_122515,0.999869368346194,0.0091292332499374,0.9998172841070484,0.002868437252932,0.0485845071459457,0.0023604543346144
DRF_1_AutoML_1_20260417_122515,0.9998594801092672,0.0185321141630042,0.9998131239370488,0.0033835231660643,0.0608482602876586,0.0037025107800346
XRT_1_AutoML_1_20260417_122515,0.9998084889827334,0.0623604054378454,0.9998296927345804,0.0047145848208402,0.0984975637224248,0.0097017700592531
DeepLearning_1_AutoML_1_20260417_122515,0.998264006214286,0.0441776788375862,0.997725939676531,0.012266431480968,0.0979891936851262,0.0096018820790611
GLM_1_AutoML_1_20260417_122515,0.9928392537108232,0.0993902901554277,0.9906616542012884,0.0334590323133947,0.1622854603030845,0.026336570625784
